x;u(x);du(x);ddu(x);p(x);q(x);f(x);fc(x)
59.7027;0.000113295;-0.0182718;1.47323;2.40628;3.0954;-3.5352;-361.614;
59.7028;0.00011513;-0.0184191;1.47322;2.4064;3.09501;-3.5353;-361.612;
59.7029;0.000116979;-0.0185664;1.47321;2.40651;3.09462;-3.53539;-361.611;
59.703;0.000118843;-0.0187137;1.47321;2.40663;3.09423;-3.53548;-361.609;
59.7031;0.000120722;-0.0188611;1.4732;2.40675;3.09384;-3.53558;-361.607;
59.7032;0.000122616;-0.0190084;1.4732;2.40687;3.09345;-3.53567;-361.606;
59.7033;0.000124524;-0.0191557;1.47319;2.40698;3.09305;-3.53576;-361.604;
59.7034;0.000126447;-0.0193031;1.47319;2.4071;3.09266;-3.53586;-361.602;
59.7035;0.000128385;-0.0194504;1.47318;2.40722;3.09227;-3.53595;-361.6;
59.7036;0.000130338;-0.0195977;1.47318;2.40734;3.09188;-3.53604;-361.599;
59.7037;0.000132305;-0.019745;1.47317;2.40745;3.09149;-3.53614;-361.597;
59.7038;0.000134287;-0.0198924;1.47316;2.40757;3.0911;-3.53623;-361.595;
59.7039;0.000136283;-0.0200397;1.47316;2.40769;3.09071;-3.53632;-361.593;
59.704;0.000138295;-0.020187;1.47315;2.4078;3.09031;-3.53642;-361.592;
59.7041;0.000140321;-0.0203343;1.47315;2.40792;3.08992;-3.53651;-361.59;
59.7042;0.000142362;-0.0204816;1.47314;2.40804;3.08953;-3.5366;-361.588;
59.7043;0.000144418;-0.020629;1.47313;2.40815;3.08914;-3.5367;-361.586;
59.7044;0.000146488;-0.0207763;1.47313;2.40827;3.08875;-3.53679;-361.584;
59.7045;0.000148573;-0.0209236;1.47312;2.40838;3.08836;-3.53688;-361.582;
59.7046;0.000150673;-0.0210709;1.47312;2.4085;3.08797;-3.53697;-361.58;
59.7047;0.000152788;-0.0212182;1.47311;2.40862;3.08758;-3.53707;-361.579;
59.7048;0.000154917;-0.0213656;1.4731;2.40873;3.08719;-3.53716;-361.577;
59.7049;0.000157061;-0.0215129;1.4731;2.40885;3.0868;-3.53725;-361.575;
59.705;0.00015922;-0.0216602;1.47309;2.40896;3.08641;-3.53735;-361.573;
59.7051;0.000161393;-0.0218075;1.47308;2.40908;3.08602;-3.53744;-361.571;
59.7052;0.000163581;-0.0219548;1.47308;2.4092;3.08563;-3.53753;-361.569;
59.7053;0.000165784;-0.0221022;1.47307;2.40931;3.08523;-3.53762;-361.567;
59.7054;0.000168002;-0.0222495;1.47306;2.40943;3.08484;-3.53772;-361.565;
59.7055;0.000170234;-0.0223968;1.47306;2.40954;3.08445;-3.53781;-361.563;
59.7056;0.000172482;-0.0225441;1.47305;2.40966;3.08406;-3.5379;-361.561;
59.7057;0.000174744;-0.0226914;1.47304;2.40977;3.08367;-3.53799;-361.559;
59.7058;0.00017702;-0.0228387;1.47304;2.40989;3.08328;-3.53809;-361.557;
59.7059;0.000179312;-0.022986;1.47303;2.41;3.08289;-3.53818;-361.555;
59.706;0.000181618;-0.0231333;1.47302;2.41012;3.0825;-3.53827;-361.553;
59.7061;0.000183938;-0.0232807;1.47302;2.41023;3.08211;-3.53836;-361.551;
59.7062;0.000186274;-0.023428;1.47301;2.41035;3.08172;-3.53846;-361.549;
59.7063;0.000188624;-0.0235753;1.473;2.41046;3.08134;-3.53855;-361.546;
59.7064;0.000190989;-0.0237226;1.473;2.41058;3.08095;-3.53864;-361.544;
59.7065;0.000193369;-0.0238699;1.47299;2.41069;3.08056;-3.53873;-361.542;
59.7066;0.000195764;-0.0240172;1.47298;2.41081;3.08017;-3.53883;-361.54;
59.7067;0.000198173;-0.0241645;1.47298;2.41092;3.07978;-3.53892;-361.538;
59.7068;0.000200597;-0.0243118;1.47297;2.41104;3.07939;-3.53901;-361.536;
59.7069;0.000203035;-0.0244591;1.47296;2.41115;3.079;-3.5391;-361.533;
59.707;0.000205489;-0.0246064;1.47295;2.41127;3.07861;-3.5392;-361.531;
59.7071;0.000207957;-0.0247537;1.47295;2.41138;3.07822;-3.53929;-361.529;
59.7072;0.00021044;-0.024901;1.47294;2.41149;3.07783;-3.53938;-361.527;
59.7073;0.000212937;-0.0250483;1.47293;2.41161;3.07744;-3.53947;-361.525;
59.7074;0.00021545;-0.0251956;1.47292;2.41172;3.07705;-3.53956;-361.522;
59.7075;0.000217977;-0.0253429;1.47292;2.41184;3.07666;-3.53966;-361.52;
59.7076;0.000220519;-0.0254902;1.47291;2.41195;3.07627;-3.53975;-361.518;
59.7077;0.000223075;-0.0256375;1.4729;2.41206;3.07589;-3.53984;-361.515;
59.7078;0.000225646;-0.0257848;1.47289;2.41218;3.0755;-3.53993;-361.513;
59.7079;0.000228232;-0.0259321;1.47289;2.41229;3.07511;-3.54002;-361.511;
59.708;0.000230833;-0.0260794;1.47288;2.4124;3.07472;-3.54012;-361.509;
59.7081;0.000233449;-0.0262267;1.47287;2.41252;3.07433;-3.54021;-361.506;
59.7082;0.000236079;-0.026374;1.47286;2.41263;3.07394;-3.5403;-361.504;
59.7083;0.000238724;-0.0265213;1.47286;2.41274;3.07355;-3.54039;-361.501;
59.7084;0.000241383;-0.0266686;1.47285;2.41286;3.07317;-3.54048;-361.499;
59.7085;0.000244058;-0.0268159;1.47284;2.41297;3.07278;-3.54058;-361.497;
59.7086;0.000246747;-0.0269632;1.47283;2.41308;3.07239;-3.54067;-361.494;
59.7087;0.000249451;-0.0271105;1.47282;2.4132;3.072;-3.54076;-361.492;
59.7088;0.000252169;-0.0272578;1.47282;2.41331;3.07161;-3.54085;-361.489;
59.7089;0.000254902;-0.027405;1.47281;2.41342;3.07123;-3.54094;-361.487;
59.709;0.00025765;-0.0275523;1.4728;2.41353;3.07084;-3.54103;-361.484;
59.7091;0.000260413;-0.0276996;1.47279;2.41365;3.07045;-3.54113;-361.482;
59.7092;0.000263191;-0.0278469;1.47278;2.41376;3.07006;-3.54122;-361.479;
59.7093;0.000265983;-0.0279942;1.47278;2.41387;3.06967;-3.54131;-361.477;
59.7094;0.00026879;-0.0281415;1.47277;2.41398;3.06929;-3.5414;-361.474;
59.7095;0.000271612;-0.0282888;1.47276;2.4141;3.0689;-3.54149;-361.472;
59.7096;0.000274448;-0.028436;1.47275;2.41421;3.06851;-3.54158;-361.469;
59.7097;0.000277299;-0.0285833;1.47274;2.41432;3.06812;-3.54167;-361.467;
59.7098;0.000280165;-0.0287306;1.47273;2.41443;3.06774;-3.54177;-361.464;
59.7099;0.000283045;-0.0288779;1.47272;2.41454;3.06735;-3.54186;-361.462;
59.71;0.000285941;-0.0290252;1.47272;2.41466;3.06696;-3.54195;-361.459;
59.7101;0.000288851;-0.0291724;1.47271;2.41477;3.06658;-3.54204;-361.456;
59.7102;0.000291776;-0.0293197;1.4727;2.41488;3.06619;-3.54213;-361.454;
59.7103;0.000294715;-0.029467;1.47269;2.41499;3.0658;-3.54222;-361.451;
59.7104;0.000297669;-0.0296143;1.47268;2.4151;3.06541;-3.54231;-361.449;
59.7105;0.000300638;-0.0297616;1.47267;2.41521;3.06503;-3.5424;-361.446;
59.7106;0.000303622;-0.0299088;1.47266;2.41532;3.06464;-3.5425;-361.443;
59.7107;0.00030662;-0.0300561;1.47266;2.41544;3.06425;-3.54259;-361.44;
59.7108;0.000309633;-0.0302034;1.47265;2.41555;3.06387;-3.54268;-361.438;
59.7109;0.000312661;-0.0303506;1.47264;2.41566;3.06348;-3.54277;-361.435;
59.711;0.000315704;-0.0304979;1.47263;2.41577;3.06309;-3.54286;-361.432;
59.7111;0.000318761;-0.0306452;1.47262;2.41588;3.06271;-3.54295;-361.43;
59.7112;0.000321833;-0.0307925;1.47261;2.41599;3.06232;-3.54304;-361.427;
59.7113;0.00032492;-0.0309397;1.4726;2.4161;3.06193;-3.54313;-361.424;
59.7114;0.000328022;-0.031087;1.47259;2.41621;3.06155;-3.54322;-361.421;
59.7115;0.000331138;-0.0312343;1.47258;2.41632;3.06116;-3.54331;-361.418;
59.7116;0.000334269;-0.0313815;1.47257;2.41643;3.06078;-3.54341;-361.416;
59.7117;0.000337414;-0.0315288;1.47256;2.41654;3.06039;-3.5435;-361.413;
59.7118;0.000340575;-0.0316761;1.47256;2.41665;3.06;-3.54359;-361.41;
59.7119;0.00034375;-0.0318233;1.47255;2.41676;3.05962;-3.54368;-361.407;
59.712;0.00034694;-0.0319706;1.47254;2.41687;3.05923;-3.54377;-361.404;
59.7121;0.000350145;-0.0321178;1.47253;2.41698;3.05885;-3.54386;-361.401;
59.7122;0.000353364;-0.0322651;1.47252;2.41709;3.05846;-3.54395;-361.399;
59.7123;0.000356598;-0.0324124;1.47251;2.4172;3.05807;-3.54404;-361.396;
59.7124;0.000359847;-0.0325596;1.4725;2.41731;3.05769;-3.54413;-361.393;
59.7125;0.00036311;-0.0327069;1.47249;2.41742;3.0573;-3.54422;-361.39;
59.7126;0.000366388;-0.0328541;1.47248;2.41753;3.05692;-3.54431;-361.387;
59.7127;0.000369681;-0.0330014;1.47247;2.41764;3.05653;-3.5444;-361.384;
59.7128;0.000372989;-0.0331486;1.47246;2.41775;3.05615;-3.54449;-361.381;
59.7129;0.000376311;-0.0332959;1.47245;2.41786;3.05576;-3.54458;-361.378;
59.713;0.000379649;-0.0334432;1.47244;2.41797;3.05538;-3.54467;-361.375;
59.7131;0.000383;-0.0335904;1.47243;2.41808;3.05499;-3.54477;-361.372;
59.7132;0.000386367;-0.0337377;1.47242;2.41819;3.0546;-3.54486;-361.369;
59.7133;0.000389748;-0.0338849;1.47241;2.4183;3.05422;-3.54495;-361.366;
59.7134;0.000393144;-0.0340322;1.4724;2.41841;3.05383;-3.54504;-361.363;
59.7135;0.000396555;-0.0341794;1.47239;2.41852;3.05345;-3.54513;-361.36;
59.7136;0.000399981;-0.0343266;1.47238;2.41863;3.05306;-3.54522;-361.357;
59.7137;0.000403421;-0.0344739;1.47237;2.41874;3.05268;-3.54531;-361.354;
59.7138;0.000406876;-0.0346211;1.47236;2.41884;3.0523;-3.5454;-361.35;
59.7139;0.000410345;-0.0347684;1.47235;2.41895;3.05191;-3.54549;-361.347;
59.714;0.00041383;-0.0349156;1.47234;2.41906;3.05153;-3.54558;-361.344;
59.7141;0.000417329;-0.0350629;1.47233;2.41917;3.05114;-3.54567;-361.341;
59.7142;0.000420843;-0.0352101;1.47232;2.41928;3.05076;-3.54576;-361.338;
59.7143;0.000424371;-0.0353573;1.47231;2.41939;3.05037;-3.54585;-361.335;
59.7144;0.000427915;-0.0355046;1.4723;2.41949;3.04999;-3.54594;-361.332;
59.7145;0.000431473;-0.0356518;1.47229;2.4196;3.0496;-3.54603;-361.328;
59.7146;0.000435045;-0.0357991;1.47228;2.41971;3.04922;-3.54612;-361.325;
59.7147;0.000438633;-0.0359463;1.47227;2.41982;3.04884;-3.54621;-361.322;
59.7148;0.000442235;-0.0360935;1.47226;2.41993;3.04845;-3.5463;-361.319;
59.7149;0.000445852;-0.0362408;1.47225;2.42003;3.04807;-3.54639;-361.315;
59.715;0.000449484;-0.036388;1.47223;2.42014;3.04768;-3.54648;-361.312;
59.7151;0.00045313;-0.0365352;1.47222;2.42025;3.0473;-3.54657;-361.309;
59.7152;0.000456791;-0.0366825;1.47221;2.42036;3.04692;-3.54666;-361.306;
59.7153;0.000460467;-0.0368297;1.4722;2.42047;3.04653;-3.54675;-361.302;
59.7154;0.000464157;-0.0369769;1.47219;2.42057;3.04615;-3.54684;-361.299;
59.7155;0.000467863;-0.0371241;1.47218;2.42068;3.04576;-3.54693;-361.296;
59.7156;0.000471583;-0.0372714;1.47217;2.42079;3.04538;-3.54702;-361.292;
59.7157;0.000475317;-0.0374186;1.47216;2.42089;3.045;-3.54711;-361.289;
59.7158;0.000479067;-0.0375658;1.47215;2.421;3.04461;-3.5472;-361.286;
59.7159;0.000482831;-0.037713;1.47214;2.42111;3.04423;-3.54729;-361.282;
59.716;0.00048661;-0.0378603;1.47213;2.42122;3.04385;-3.54738;-361.279;
59.7161;0.000490403;-0.0380075;1.47211;2.42132;3.04346;-3.54747;-361.275;
59.7162;0.000494212;-0.0381547;1.4721;2.42143;3.04308;-3.54756;-361.272;
59.7163;0.000498035;-0.0383019;1.47209;2.42154;3.0427;-3.54764;-361.269;
59.7164;0.000501872;-0.0384491;1.47208;2.42164;3.04231;-3.54773;-361.265;
59.7165;0.000505725;-0.0385963;1.47207;2.42175;3.04193;-3.54782;-361.262;
59.7166;0.000509592;-0.0387436;1.47206;2.42186;3.04155;-3.54791;-361.258;
59.7167;0.000513474;-0.0388908;1.47205;2.42196;3.04117;-3.548;-361.255;
59.7168;0.000517371;-0.039038;1.47203;2.42207;3.04078;-3.54809;-361.251;
59.7169;0.000521282;-0.0391852;1.47202;2.42217;3.0404;-3.54818;-361.248;
